Provider Number,Hospital Name,Address 1,Address 2,Address 3,City,State,ZIP Code,County,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Location
670059,St Lukes Lakeside Hospital,17400 St. Luke's Way,,,The Woodlands,TX,77384,Montgomery,936-266-4055,Acute Care,Nonprofit - Other,Yes,"17400 ST LUKES WAY
THE WOODLANDS, TX 77384
(30.20184948600047, -95.45938184199969)"
670060,Texas Regional Medical Center At Sunnyvale,231 S. Collins Road,,,Sunnyvale,TX,75182,Dallas,972-892-3000,Acute Care,Proprietary,Yes,"231 SOUTH COLLINS ROAD
SUNNYVALE, TX 75182
(32.778419244000474, -96.56715393599967)"
670061,South Texas Surgical Hospital,6130 Parkway Drive,,,Corpus Christi,TX,78414,Nueces,361-993-2000,Acute Care,Proprietary,Yes,"6130 PARKWAY DRIVE
CORPUS CHRISTI, TX 78414
(27.686783491000483, -97.3756034759997)"
670062,Baylor Emergency Medical Center,26791 U.S. Highway 380,,,Aubrey,TX,76227,Denton,972-347-2525,Acute Care,Proprietary,Yes,"26791 HIGHWAY 380
AUBREY, TX 76227
(33.22007846300045, -96.91343975899969)"
670066,"Basin Healthcare Center, Llc",900 E. 4th St.,,,Odessa,TX,79761,Ector,432-425-9510,Acute Care,Proprietary,Yes,"900 EAST 4TH STREET
ODESSA, TX 79761
(31.85188607800046, -102.36036024399971)"
670067,Baylor Orthopedic And Spine Hospital At Arlington,707 Highlander Blvd.,,,Arlington,TX,76015,Tarrant,817-549-2364,Acute Care,Proprietary,Yes,"707 HIGHLANDER BLVD
ARLINGTON, TX 76015
(32.682620090000455, -97.11529834199968)"
670068,Texas Health Presbyterian Hospital Flower Mound,4400 Long Prairie Road,,,Flower Mound,TX,75028,Denton,972-419-1530,Acute Care,Proprietary,Yes,"4400 LONG PRAIRIE ROAD
FLOWER MOUND, TX 75028
(33.04542069100046, -97.06928792199966)"
670069,Methodist Mckinney Hospital,8000 W. Eldorado Parkway,,,Mc Kinney,TX,75070,Collin,469-424-6400,Acute Care,Proprietary,Yes,"8000 W ELDORADO PKWY
MC KINNEY, TX 75070
(33.17556716800044, -96.72303052499967)"
670071,Texas Health Heart & Vascular Hospital Arlington,811 Wright St.,,,Arlington,TX,76012,Tarrant,817-960-3500,Acute Care,Proprietary,No,"811 WRIGHT STREET
ARLINGTON, TX 76012
(32.748228827000446, -97.11580995499969)"
670073,Methodist Hospital For Surgery,17101 Dallas Parkway,,,Addison,TX,75001,Dallas,469-248-3900,Acute Care,Proprietary,Yes,"17101 DALLAS PARKWAY
ADDISON, TX 75001
(32.98389642400048, -96.82890313099966)"
670075,"St Luke's Hospital At The Vintage, Llc",20171 Chasewood Park Drive,,,Houston,TX,77070,Harris,832-534-5000,Acute Care,Proprietary,Yes,"20171 CHASEWOOD PARK DRIVE
HOUSTON, TX 77070
(29.989951515000485, -95.5701722989997)"
670076,Heritage Park Surgical Hospital,3601 Calais Drive,,,Sherman,TX,75090,Grayson,903-813-3728,Acute Care,Proprietary,Yes,"3601 CALAIS DRIVE
SHERMAN, TX 75090
(33.63243189700046, -96.5833079089997)"
670077,Methodist West Houston Hospital,18500 Katy Freeway,,,Houston,TX,77094,Harris,832-522-1000,Acute Care,Nonprofit - Church,Yes,"18500 KATY FREEWAY
HOUSTON, TX 77094
(29.78553828000048, -95.69489077799966)"
670078,Baptist Emergency Hospital,16088 San Pedro,,,San Antonio,TX,78232,Bexar,210-402-4092,Acute Care,Proprietary,No,"16088 SAN PEDRO
SAN ANTONIO, TX 78232
(29.587791629000435, -98.47422032899965)"
670079,"Lakeway Regional Medical Center, Llc",100 Medical Parkway,,,Lakeway,TX,78734,Travis,512-205-8102,Acute Care,Proprietary,Yes,"100 MEDICAL PARKWAY
LAKEWAY, TX 78734
(30.377384062000488, -97.95245824799969)"
670080,Seton Medical Center Harker Heights,850 W. Central Texas Expressway,,,Harker Heights,TX,76548,Bell,254-953-8342,Acute Care,Proprietary,Yes,"850 W CENTRAL TEXAS EXPRESSWAY
HARKER HEIGHTS, TX 76548
(31.08180194300047, -97.6419398219997)"
670082,Baylor Medical Center At Mckinney,5252 W. University Drive,,,Mc Kinney,TX,75071,Collin,469-742-2200,Acute Care,Nonprofit - Church,Yes,"5252 WEST UNIVERSITY DRIVE
MC KINNEY, TX 75071
(33.21840844500048, -96.67983036999965)"
670083,Texas General Hospital,2709 Hospital Blvd.,,,Grand Prairie,TX,75051,Dallas,469-635-2073,Acute Care,Proprietary,Yes,"2709 HOSPITAL BLVD
GRAND PRAIRIE, TX 75051
(32.73362369000046, -97.0479602589997)"
670085,Texas Health Harris Methodist Hospital Alliance,10864 Texas Health Trail,,,Fort Worth,TX,76244,Tarrant,682-212-2004,Acute Care,Nonprofit - Church,Yes,"10864 TEXAS HEALTH TRAIL
FORT WORTH, TX 76244
(32.93238478900048, -97.30977613699969)"
670087,BAYLOR SCOTT & WHITE EMERGENCY MEDICAL CENTER AT C,900 East Whitestone Blvd.,,,Cedar Par,TX,78613,WILLIAMSON,512-684-4911,Acute Care Hospitals,Proprietary,Yes,"(30.523350, -97.819611)"
670088,SCOTT & WHITE HOSPITAL- COLLEGE STATION,700 Scott & White Drive,,,College Station,TX,77845,BRAZOS,979-691-3701,Acute Care Hospitals,Voluntary non-profit - Private,Yes,"(30.583035, -96.279422)"
670089,NIX COMMUNITY GENERAL HOSPITAL,230 West Miller Street,,,Dilley,TX,78017,FRIO,210-271-2190,Acute Care Hospitals,Voluntary non-profit - Private,Yes,"(28.671602, -99.175065)"
670090,CRESCENT MEDICAL CENTER LANCASTER,2600 West Pleasant Run Road,,,Lancaster,TX,75146,DALLAS,972-230-8888,Acute Care Hospitals,Proprietary,Yes,"(32.603031, -96.812489)"
